"_id","_index","_score","_type","available_size","brand_name",color,description,mrp,"pdp_url",price,"product_category","product_name",rating,retailer,"review_count","style_attributes","total_sizes"
"KJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","30B,30D,32B,32C,34A,34B,34C,34D,36A,36B,36C,36D,38C","Calvin Klein",BARE,"a lightly lined demi bra featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette.","$38.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/sheer-marquisette-lightly-lined-demi-bra-52261839-680","$38.00 ",Bras,"sheer marquisette lightly lined demi bra",NULL,"Calvin Klein US",NULL,"[""sheer marquisette demi bra"",""supersoft lightweight sheer"",""revisiting the original sheer marquisette logo"",""demi underwire bra"",""adjustable cushioned straps"",""lightly lined"",""machine wash"",""72% nylon 28% elastane"",""imported""]","30B,30C,30D,32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,38B,38C"
"KZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","30B,30C,30D,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,38C","Calvin Klein",NIMSAY,"a lightly lined demi bra featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette.","$38.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/sheer-marquisette-lightly-lined-demi-bra-52261839-680","$38.00 ",Bras,"sheer marquisette lightly lined demi bra",NULL,"Calvin Klein US",NULL,"[""sheer marquisette demi bra"",""supersoft lightweight sheer"",""revisiting the original sheer marquisette logo"",""demi underwire bra"",""adjustable cushioned straps"",""lightly lined"",""machine wash"",""72% nylon 28% elastane"",""imported""]","30B,30C,30D,32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,38B,38C"
"Kp-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"a triangle bralette featuring allover sheer lattice logo lace, adjustable straps and a bold mesh logo waistband for a radical, modern logo design.","$34.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/radical-triangle-bralette-52261869","$19.99 ",Bras,"radical triangle bralette",NULL,"Calvin Klein US",NULL,"[""radical triangle bralette"",""allover sheer lattice logo lace"",""triangle shaping + adjustable straps"",""bold mesh logo waistband"",""machine wash"",""91% nylon 9% spandex"",""imported""]","s,m,l"
"K5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",SALVIA,"a triangle bralette featuring allover sheer lattice logo lace, adjustable straps and a bold mesh logo waistband for a radical, modern logo design.","$34.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/radical-triangle-bralette-52261869","$19.99 ",Bras,"radical triangle bralette",NULL,"Calvin Klein US",NULL,"[""radical triangle bralette"",""allover sheer lattice logo lace"",""triangle shaping + adjustable straps"",""bold mesh logo waistband"",""machine wash"",""91% nylon 9% spandex"",""imported""]","s,m,l"
"LJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",SULTRY,"a triangle bralette featuring allover sheer lattice logo lace, adjustable straps and a bold mesh logo waistband for a radical, modern logo design.","$34.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/radical-triangle-bralette-52261869","$19.99 ",Bras,"radical triangle bralette",NULL,"Calvin Klein US",NULL,"[""radical triangle bralette"",""allover sheer lattice logo lace"",""triangle shaping + adjustable straps"",""bold mesh logo waistband"",""machine wash"",""91% nylon 9% spandex"",""imported""]","s,m,l"
"LZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/seamless-illusions-striped-hipster-51463549","$13.00 ",Panties,"seamless illusions striped hipster",NULL,"Calvin Klein US",NULL,"[""hipster panty"",""contrasting logo on waistband"",""seamless edges"",""illusions stripe print"",""full rear coverage"",""full cotton gusset"",""machine wash"",""94% nylon 6% elastane"",""imported""]","s,m,l"
"Lp-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","STELLA BLUE/WATER STONE","an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/seamless-illusions-striped-hipster-51463549","$13.00 ",Panties,"seamless illusions striped hipster",NULL,"Calvin Klein US",NULL,"[""hipster panty"",""contrasting logo on waistband"",""seamless edges"",""illusions stripe print"",""full rear coverage"",""full cotton gusset"",""machine wash"",""94% nylon 6% elastane"",""imported""]","s,m,l"
"L5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m","Calvin Klein","PERPETUA/SALT LAKE","an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/seamless-illusions-striped-hipster-51463549","$13.00 ",Panties,"seamless illusions striped hipster",NULL,"Calvin Klein US",NULL,"[""hipster panty"",""contrasting logo on waistband"",""seamless edges"",""illusions stripe print"",""full rear coverage"",""full cotton gusset"",""machine wash"",""94% nylon 6% elastane"",""imported""]","s,m,l"
"MJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc",m,"Calvin Klein","PLUM ORBIT/TRANSPINK","an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/seamless-illusions-striped-hipster-51463549","$13.00 ",Panties,"seamless illusions striped hipster",NULL,"Calvin Klein US",NULL,"[""hipster panty"",""contrasting logo on waistband"",""seamless edges"",""illusions stripe print"",""full rear coverage"",""full cotton gusset"",""machine wash"",""94% nylon 6% elastane"",""imported""]","s,m,l"
"MZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m","Calvin Klein","DESERT SUNSET/IVORY","an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/seamless-illusions-striped-hipster-51463549","$13.00 ",Panties,"seamless illusions striped hipster",NULL,"Calvin Klein US",NULL,"[""hipster panty"",""contrasting logo on waistband"",""seamless edges"",""illusions stripe print"",""full rear coverage"",""full cotton gusset"",""machine wash"",""94% nylon 6% elastane"",""imported""]","s,m,l"
